Date,Time,1RSS(dB),RQly(%),RSNR(dB),TPWR(mW),RxBt(V),Capa(mAh),Watt(W),Vc(V),Rud,Ele,Thr,Ail,P1,SA,SB,SC,SD,SE,LSW,CH1(us),CH2(us),CH3(us),CH4(us),CH5(us),CH6(us),CH7(us),CH8(us),CH9(us),CH10(us),CH11(us),CH12(us),CH13(us),CH14(us),CH15(us),CH16(us),CH17(us),CH18(us),CH19(us),CH20(us),CH21(us),CH22(us),CH23(us),CH24(us),CH25(us),CH26(us),CH27(us),CH28(us),CH29(us),CH30(us),CH31(us),CH32(us),TxBat(V)
2026-05-11,04:43:32.760,-25,100,12,10,0.8,0,0.0,0.15,1,-1,452,1,978,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:32.850,-25,100,12,10,0.8,0,0.0,0.15,1,-2,452,1,978,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:32.950,-25,100,12,10,0.8,0,0.0,0.15,1,-1,452,1,977,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:33.050,-25,100,12,10,0.8,0,0.0,0.15,1,-1,452,0,979,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:33.150,-25,100,12,10,0.8,0,0.0,0.15,1,-2,452,0,977,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:33.250,-25,100,12,10,0.8,0,0.0,0.15,1,-1,452,0,979,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:33.350,-25,100,12,10,0.8,0,0.0,0.15,1,-1,452,0,977,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:33.450,-25,100,12,10,0.8,0,0.0,0.15,1,-2,452,1,978,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:33.550,-25,100,12,10,0.8,0,0.0,0.15,1,-2,452,0,977,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
2026-05-11,04:43:33.650,-25,100,12,10,0.8,0,0.0,0.15,1,-1,452,0,979,-1,0,0,1,-1,0x0000000000000000,1500,1500,1723,1500,988,1500,1500,988,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,7.9
