Timestamp,AvgCell(V),Voltage(V),Current(A),Power(W),Capacity(mAh)
[00:00:00.106],3.60,21.58,0.16,3.49,0
[00:00:04.378],3.59,21.56,0.46,9.88,0
[00:00:04.579],3.59,21.53,0.71,15.21,0
[00:00:05.589],3.58,21.49,0.97,20.76,0
[00:00:05.991],3.59,21.53,0.62,13.30,0
[00:00:06.913],3.59,21.56,0.34,7.33,0
[00:00:07.936],3.59,21.54,0.55,11.80,0
[00:00:08.239],3.59,21.56,0.32,6.85,0
[00:00:21.752],3.58,21.49,0.99,21.17,2
[00:00:21.852],3.57,21.44,1.57,33.66,2
[00:00:21.952],3.56,21.36,2.23,47.67,2
[00:00:22.052],3.56,21.33,2.45,52.18,2
[00:00:22.156],3.57,21.39,1.90,40.73,2
[00:00:22.256],3.58,21.48,1.06,22.67,2
[00:00:22.356],3.59,21.52,0.61,13.23,2
[00:00:22.460],3.58,21.47,1.72,24.34,2
[00:00:22.560],3.56,21.35,2.25,48.01,2
[00:00:22.863],3.58,21.46,0.82,22.70,2
[00:00:23.063],3.58,21.45,1.24,26.53,2
[00:00:23.167],3.56,21.33,2.39,51.03,2
[00:00:23.267],3.56,21.33,2.09,52.28,2
[00:00:23.367],3.57,21.42,1.55,33.10,2
[00:00:23.467],3.58,21.47,1.10,23.56,2
[00:00:23.567],3.58,21.51,0.70,14.96,2
[00:00:23.671],3.58,21.46,1.74,24.68,2
[00:00:23.771],3.56,21.36,2.20,46.89,2
[00:00:23.871],3.55,21.32,2.44,52.12,3
[00:00:24.075],3.58,21.46,0.76,22.69,3
[00:00:24.279],3.57,21.43,1.43,30.67,3
[00:00:24.379],3.55,21.32,2.52,53.68,3
[00:00:24.479],3.56,21.37,2.02,43.18,3
[00:00:24.579],3.57,21.40,1.24,36.39,3
[00:00:24.679],3.58,21.47,1.00,21.51,3
[00:00:24.779],3.59,21.51,0.62,13.36,3
[00:00:24.879],3.57,21.45,1.19,25.44,3
[00:00:24.979],3.56,21.34,2.28,48.73,3
[00:00:25.183],3.56,21.38,1.81,38.59,3
[00:00:25.287],3.58,21.49,0.79,16.90,3
[00:00:25.387],3.58,21.49,1.07,23.01,3
[00:00:25.487],3.57,21.43,1.47,31.58,3
[00:00:25.591],3.55,21.32,2.44,52.04,3
[00:00:25.691],3.56,21.36,2.03,43.45,3
[00:00:25.791],3.57,21.40,1.41,30.11,3
[00:00:25.891],3.58,21.46,0.73,22.78,3
[00:00:26.091],3.58,21.45,1.17,24.99,3
[00:00:26.195],3.56,21.33,2.38,50.69,4
[00:00:26.399],3.57,21.42,1.47,31.45,4
[00:00:26.502],3.58,21.48,0.76,16.26,4
[00:00:26.603],3.58,21.45,1.06,22.79,4
[00:00:26.707],3.56,21.37,1.95,41.63,4
[00:00:26.811],3.55,21.30,2.58,54.92,4
[00:00:26.911],3.56,21.38,1.81,38.76,4
[00:00:27.011],3.57,21.44,1.16,24.85,4
[00:00:27.111],3.58,21.49,0.72,15.54,4
[00:00:27.213],3.58,21.46,1.05,22.62,4
[00:00:27.384],3.57,21.42,1.42,30.33,4
[00:00:27.484],3.55,21.27,2.81,59.85,4
[00:00:27.584],3.55,21.32,2.28,48.58,4
[00:00:27.684],3.58,21.46,1.00,21.42,4
[00:00:27.888],3.57,21.42,1.33,28.38,4
[00:00:27.988],3.55,21.31,2.49,52.99,4
[00:00:28.092],3.55,21.33,2.28,48.64,4
[00:00:28.192],3.57,21.41,1.47,31.36,4
[00:00:28.292],3.58,21.46,0.98,20.96,4
[00:00:28.392],3.58,21.48,0.75,16.08,4
[00:00:28.496],3.57,21.43,1.26,26.95,4
[00:00:28.596],3.55,21.31,2.51,53.44,5
[00:00:28.800],3.56,21.35,1.88,40.07,5
[00:00:28.900],3.58,21.47,0.88,18.84,5
[00:00:29.100],3.57,21.42,1.30,27.88,5
[00:00:29.204],3.55,21.30,2.50,53.36,5
[00:00:29.308],3.56,21.33,2.13,45.45,5
[00:00:29.408],3.57,21.41,1.38,29.64,5
[00:00:29.508],3.58,21.47,0.87,18.68,5
[00:00:29.712],3.57,21.43,1.28,27.32,5
[00:00:29.816],3.55,21.31,2.47,52.56,5
[00:00:30.020],3.56,21.36,1.85,39.59,5
[00:00:30.120],3.58,21.47,0.78,16.71,5
[00:00:30.220],3.57,21.44,1.14,24.36,5
[00:00:30.320],3.57,21.41,1.46,31.34,5
[00:00:30.420],3.55,21.30,2.45,52.18,5
[00:00:30.524],3.55,21.33,2.10,44.88,5
[00:00:30.729],3.58,21.45,1.00,21.41,6
[00:00:30.933],3.57,21.40,1.45,31.10,6
[00:00:31.037],3.55,21.31,2.37,50.56,6
[00:00:31.241],3.56,21.36,1.21,39.96,6
[00:00:31.341],3.58,21.46,0.82,17.50,6
[00:00:31.441],3.57,21.44,1.06,22.78,6
[00:00:31.545],3.55,21.31,2.28,48.67,6
[00:00:31.749],3.56,21.34,1.91,40.87,6
[00:00:31.849],3.57,21.44,1.03,22.17,6
[00:00:31.949],3.58,21.48,0.58,12.54,6
[00:00:32.049],3.57,21.45,1.00,21.37,6
[00:00:32.149],3.57,21.40,2.10,30.71,6
[00:00:32.252],3.55,21.30,2.44,52.07,6
[00:00:32.352],3.56,21.33,2.12,45.15,6
[00:00:32.452],3.56,21.37,1.10,38.43,6
[00:00:32.553],3.58,21.47,0.81,17.42,6
[00:00:32.652],3.57,21.43,1.17,25.08,6
[00:00:32.752],3.56,21.38,1.52,32.52,6
[00:00:32.852],3.55,21.29,2.49,53.05,6
[00:00:32.952],3.56,21.34,2.01,42.84,7
[00:00:33.052],3.57,21.39,1.49,31.79,7
[00:00:33.152],3.58,21.45,0.90,19.23,7
[00:00:33.356],3.57,21.40,1.36,29.01,7
[00:00:33.456],3.55,21.30,2.41,51.31,7
[00:00:33.659],3.56,21.37,1.73,36.99,7
[00:00:33.760],3.58,21.46,0.75,16.10,7
[00:00:33.864],3.57,21.42,1.25,26.86,7
[00:00:34.069],3.55,21.31,2.26,48.06,7
[00:00:34.169],3.56,21.33,1.84,39.32,7
[00:00:34.269],3.57,21.39,0.96,31.76,7
[00:00:34.373],3.58,21.50,0.46,9.99,7
[00:00:34.473],3.57,21.44,0.97,20.85,7
[00:00:34.573],3.55,21.33,2.17,46.31,7
[00:00:34.673],3.55,21.29,2.49,53.09,7
[00:00:34.876],3.57,21.43,1.02,21.80,7
[00:00:35.180],3.55,21.30,2.37,50.47,7
[00:00:35.384],3.56,21.35,1.87,39.99,8
[00:00:35.484],3.57,21.42,1.19,25.40,8
[00:00:35.584],3.58,21.48,0.63,13.50,8
[00:00:35.684],3.57,21.44,0.95,20.44,8
[00:00:35.784],3.56,21.39,2.23,47.58,8
[00:00:36.091],3.57,21.44,0.89,19.06,8
[00:00:36.295],3.57,21.42,1.14,24.49,8
[00:00:36.396],3.55,21.29,2.41,51.24,8
[00:00:36.603],3.56,21.36,1.79,38.16,8
[00:00:36.704],3.57,21.43,1.12,23.99,8
[00:00:36.808],3.58,21.48,0.59,12.56,8
[00:00:36.908],3.57,21.43,1.07,22.96,8
[00:00:37.008],3.55,21.31,2.22,47.29,8
[00:00:37.112],3.55,21.29,2.47,52.49,8
[00:00:37.212],3.55,21.33,2.11,45.10,8
[00:00:37.312],3.57,21.45,0.84,18.03,8
[00:00:37.519],3.57,21.41,1.24,26.58,8
[00:00:37.619],3.55,21.28,2.54,54.07,9
[00:00:37.823],3.56,21.34,1.93,41.24,9
[00:00:37.924],3.57,21.44,0.92,19.72,9
[00:00:38.028],3.58,21.46,0.68,14.62,9
[00:00:38.128],3.57,21.41,1.22,26.08,9
[00:00:38.228],3.55,21.30,2.31,49.19,9
[00:00:38.428],3.55,21.32,2.02,42.99,9
[00:00:38.532],3.57,21.43,0.97,20.70,9
[00:00:38.736],3.57,21.39,1.32,28.27,9
[00:00:38.840],3.55,21.27,2.56,54.42,9
[00:00:38.940],3.54,21.24,2.85,60.56,9
[00:00:39.140],3.56,21.37,1.61,34.46,9
[00:00:39.244],3.57,21.44,0.83,17.70,9
[00:00:39.344],3.57,21.40,1.33,28.43,9
[00:00:39.444],3.55,21.28,2.43,51.71,9
[00:00:39.648],3.55,21.31,2.14,45.59,10
[00:00:39.752],3.57,21.42,1.09,23.32,10
[00:00:39.956],3.57,21.40,1.34,28.77,10
[00:00:40.060],3.55,21.29,2.29,48.82,10
[00:00:40.264],3.56,21.35,1.72,36.82,10
[00:00:40.364],3.57,21.43,0.93,19.99,10
[00:00:40.567],3.57,21.40,1.24,26.63,10
[00:00:40.668],3.55,21.28,2.37,50.37,10
[00:00:40.872],3.55,21.32,2.04,43.54,10
[00:00:40.976],3.57,21.44,0.90,19.22,10
[00:00:41.180],3.56,21.35,1.65,35.14,10
[00:00:41.283],3.58,21.48,0.57,10.52,10
[00:01:02.776],3.58,21.46,0.77,16.57,13
[00:01:14.754],3.57,21.42,1.11,23.74,16
[00:01:14.854],3.56,21.34,1.92,41.01,16
[00:01:15.466],3.55,21.31,2.29,48.76,17
[00:01:15.669],3.55,21.32,2.00,42.59,17
[00:01:15.979],3.55,21.29,2.30,48.96,17
[00:01:16.079],3.55,21.32,1.86,39.71,17
[00:01:17.002],3.56,21.34,1.61,34.45,17
[00:01:19.459],3.56,21.36,1.41,30.11,18
[00:01:19.562],3.56,21.34,1.73,36.90,18
[00:01:19.663],3.57,21.39,1.18,25.34,19
[00:01:19.762],3.54,21.26,2.40,50.97,19
[00:01:19.866],3.56,21.36,1.53,32.57,19
[00:01:19.966],3.56,21.33,1.76,37.54,19
[00:01:20.069],3.56,21.35,1.53,32.63,19
[00:01:20.169],3.53,21.21,3.04,64.37,19
[00:01:20.273],3.56,21.34,1.61,34.32,19
[00:01:20.377],3.57,21.43,0.76,16.36,19
[00:01:20.679],3.57,21.41,0.96,20.63,19
